country,price_usd_per_kwh
Bermuda,0.465
Ireland,0.450
Italy,0.414
Cayman Islands,0.410
Germany,0.406
Belgium,0.406
UK,0.402
Liechtenstein,0.399
Switzerland,0.367
Denmark,0.355
Austria,0.353
Czech Republic,0.351
Bahamas,0.348
Cyprus,0.343
Cape Verde,0.329
Barbados,0.314
Guatemala,0.299
Estonia,0.292
Jamaica,0.290
Netherlands,0.286
Lithuania,0.285
Latvia,0.280
France,0.276
Luxembourg,0.261
Australia,0.259
Spain,0.255
Uruguay,0.255
Greece,0.254
El Salvador,0.254
Sweden,0.243
Portugal,0.239
Poland,0.236
Singapore,0.233
Sierra Leone,0.232
Honduras,0.231
Chile,0.228
Slovenia,0.228
Japan,0.227
Mali,0.223
Romania,0.222
Belize,0.219
Kenya,0.219
Slovakia,0.215
New Zealand,0.212
Aruba,0.211
Rwanda,0.211
Burkina Faso,0.209
Philippines,0.209
South Africa,0.209
Gabon,0.208
Colombia,0.207
Togo,0.199
Andorra,0.196
USA,0.188
Peru,0.186
Israel,0.185
Hong Kong,0.184
Senegal,0.183
Croatia,0.181
Moldova,0.179
Iceland,0.179
Nicaragua,0.176
Panama,0.176
Finland,0.175
Uganda,0.171
Costa Rica,0.170
Norway,0.165
Brazil,0.164
Bulgaria,0.155
Cambodia,0.150
Malta,0.148
Ghana,0.147
Namibia,0.143
Mauritius,0.135
Ivory Coast,0.132
Madagascar,0.130
Serbia,0.130
Swaziland,0.129
N. Maced.,0.129
Thailand,0.127
Mozambique,0.127
South Korea,0.127
Canada,0.123
Morocco,0.121
Montenegro,0.120
Albania,0.119
Dom. Rep.,0.115
Sri Lanka,0.114
Armenia,0.113
Hungary,0.111
Mexico,0.109
Bosnia & Herz.,0.108
Lesotho,0.108
Maldives,0.104
Taiwan,0.098
Ecuador,0.097
Botswana,0.094
Tanzania,0.091
Jordan,0.090
Indonesia,0.090
Malawi,0.088
Argentina,0.087
Belarus,0.087
Cameroon,0.084
Ukraine,0.084
UAE,0.080
Vietnam,0.078
India,0.077
China,0.076
Russia,0.069
Venezuela,0.069
Tunisia,0.067
Turkey,0.067
DR Congo,0.066
Georgia,0.066
Bangladesh,0.063
Pakistan,0.063
Kazakhstan,0.057
Trinidad & Tobago,0.057
Paraguay,0.055
Afghanistan,0.052
Saudi Arabia,0.052
Malaysia,0.050
Suriname,0.050
Azerbaijan,0.048
Bahrain,0.048
Nepal,0.042
Algeria,0.041
Kuwait,0.040
Uzbekistan,0.039
Nigeria,0.036
Laos,0.034
Qatar,0.032
Oman,0.030
Burma,0.025
Egypt,0.023
Zambia,0.023
Sudan,0.017
Angola,0.016
Iraq,0.015
Kyrgyzstan,0.015
Bhutan,0.015
Cuba,0.014
Ethiopia,0.006
Iran,0.003
